Name,Year,USENIX_ATC,USENIX_FAST,DSN,HPDC,IEEECluster
Felicita Di Giandomenico,2019,0,0,1,0,0
Fernando Dotti,2019,0,0,1,0,0
Francois Taiani,2019,0,0,1,0,0
Francois Taiani,2018,0,0,1,0,0
Frolin Ocariza,2019,0,0,1,0,0
Gabriela Jacques da Silva,2019,0,0,1,0,0
Gabriela Jacques da Silva,2018,0,0,1,0,0
Haining Wang,2019,0,0,1,0,0
Ilir Gashi,2019,0,0,1,0,0
Ilir Gashi,2018,0,0,1,0,0
Jose Orlando Pereira,2019,0,0,1,0,0
Jussara M. Almeida,2019,0,0,1,0,0
Kaustubh Joshi,2019,0,0,1,0,0
Keun Soo Yim,2019,0,0,1,0,0
Luis Rodrigues,2019,0,0,1,0,0
Marco Serafini,2019,0,0,1,0,0
Marco Vieira,2019,0,0,1,0,0
Mattan Erez,2019,0,0,1,0,1
Mohamed Kaaniche,2019,0,0,1,0,0
Mohamed Kaaniche,2018,0,0,1,0,0
Nathan DeBardeleben,2019,0,0,1,0,0
Paolo Rech,2019,0,0,1,0,0
Paolo Romano,2019,0,0,1,0,0
Parisa Marandi,2019,0,0,1,0,0
Rakesh Bobba,2019,0,0,1,0,0
Regina Moraes,2019,0,0,1,0,0
Regina Moraes,2018,0,0,1,0,0
Rick Schlichting,2019,0,0,1,0,0
Rick Schlichting,2018,0,0,1,0,0
Santonu Sarkar,2019,0,0,1,0,0
Susanna Donatelli,2019,0,0,1,0,0
Vana Kalogeraki,2019,0,0,1,0,0
Vilas Sridharan,2019,0,0,1,0,0
William H. Sanders,2019,0,0,1,0,0
William H. Sanders,2018,0,0,1,0,0
Achour Mostephaoui,2018,0,0,1,0,0
Alexander Romanovsky,2018,0,0,1,0,0
Arun Somani,2018,0,0,1,0,0
Engin Kirda,2018,0,0,1,0,0
Fabien Hermenier,2018,0,0,1,0,0
Fumio Machida,2018,0,0,1,0,0
Gernot Heiser,2018,0,0,1,0,0
Hari Ramasamy,2018,0,0,1,0,0
Hélène Waeselynck,2018,0,0,1,0,0
Henrique Madeira,2018,0,0,1,0,0
Javier Camara,2018,0,0,1,0,0
Jonny Vinter,2018,0,0,1,0,0
José Orlando Pereira,2018,0,0,1,0,0
Juan Carlos Ruiz García,2018,0,0,1,0,0
Katerina Goseva-Popstojanova,2018,0,0,1,0,0
Luigi Romano,2018,0,0,1,0,0
Matti Hiltunen,2018,0,0,1,0,0
Mike Swift,2018,0,0,1,0,0
Mohammad Zulkernine,2018,0,0,1,0,0
Olaf Spinczyk,2018,0,0,1,0,0
Peter Kemper,2018,0,0,1,0,0
Phil Koopman,2018,0,0,1,0,0
Philipp Reinecke,2018,0,0,1,0,0
Rachid Guerraoui,2018,0,0,1,0,0
Rogério de Lemos,2018,0,0,1,0,0
Rüdiger Kapitza,2018,0,0,1,0,0
Samuel Kounev,2018,0,0,1,0,0
Simin Nadjm-Tehrani,2018,0,0,1,0,0
Sonia Ben Mokhtar,2018,0,0,1,0,0
Tadashi Dohi,2018,0,0,1,0,0
Veena Mendiratta,2018,0,0,1,0,0
Vincent Naessens,2018,0,0,1,0,0
Xavier Defago,2018,0,0,1,0,0
Yair Amir,2018,0,0,1,0,0
Yvan Labiche,2018,0,0,1,0,0
Samer Al-Kiswany,2020,0,0,0,1,0
Samer Al-Kiswany,2018,0,0,0,1,0
Ali Anwar,2020,0,0,0,1,0
Ali Anwar,2019,0,0,0,1,1
Pavan Balaji,2020,0,0,0,1,0
Michela Becchi,2020,0,0,0,1,1
Michela Becchi,2019,0,0,0,1,0
Michela Becchi,2018,0,0,0,1,1
Patrick G. Bridges,2020,0,0,0,1,1
Patrick G. Bridges,2018,0,0,0,1,0
Kirk Cameron,2020,0,0,0,1,0
Kirk Cameron,2019,0,0,0,1,0
Franck Cappello,2020,0,0,0,1,0
Franck Cappello,2019,0,0,0,1,0
Abhishek Chandra,2020,0,0,0,1,0
Abhishek Chandra,2019,0,0,0,1,0
Kyle Chard,2020,0,0,0,1,0
Jeff Chase,2020,0,0,0,1,0
Yue Cheng,2020,0,0,0,1,0
Yue Cheng,2019,0,0,0,1,0
Yue Cheng,2018,0,0,0,1,0
Andrew Chien,2020,0,0,0,1,0
Ayse Coskun,2020,0,0,0,1,0
Peter Dinda,2020,0,0,0,1,0
Peter Dinda,2019,0,0,0,1,0
Peter Dinda,2018,0,0,0,1,0
Dick Epema,2020,0,0,0,1,0
Dick Epema,2019,0,0,0,1,0
Dick Epema,2018,0,0,0,1,0
Renato Figueiredo,2020,0,0,0,1,0
Renato Figueiredo,2019,0,0,0,1,0
Renato Figueiredo,2018,0,0,0,1,0
Liana Fong,2020,0,0,0,1,0
Liana Fong,2019,0,0,0,1,0
Liana Fong,2018,0,0,0,1,0
Ana Gainaru,2020,0,0,0,1,1
Balazs Gerofi,2020,0,0,0,1,1
Kartik Gopalan,2020,0,0,0,1,0
Kartik Gopalan,2019,0,0,0,1,0
Kartik Gopalan,2018,0,0,0,1,0
Tian Guo,2020,0,0,0,1,0
Adriana Iamnitchi,2020,0,0,0,1,0
Adriana Iamnitchi,2019,0,0,0,1,0
Adriana Iamnitchi,2018,0,0,0,1,0
Alexandru Iosup,2020,0,0,0,1,0
Kate Keahey,2020,0,0,0,1,0
Kate Keahey,2018,0,0,0,1,0
Jack Lange,2020,0,0,0,1,0
Jack Lange,2019,0,0,0,1,0
Hang Liu,2020,0,0,0,1,0
Hang Liu,2019,0,0,0,1,0
Hang Liu,2018,0,0,0,1,0
Tongping Liu,2020,0,0,0,1,0
Jay Lofstead,2020,0,0,0,1,1
Jay Lofstead,2019,0,0,0,1,0
Jay Lofstead,2018,0,0,0,1,0
Naoya Maruyama,2020,0,0,0,1,1
Ninfang Mi,2020,0,0,0,1,0
Dimitrios Nikolopoulos,2020,0,0,0,1,0
Dimitrios Nikolopoulos,2019,0,0,0,1,0
Tatebe Osamu,2020,0,0,0,1,0
Sangmi Pallickara,2020,0,0,0,1,0
Sangmi Pallickara,2018,0,0,0,1,0
Swaroop Pophale,2020,0,0,0,1,0
Ioan Raicu,2020,0,0,0,1,0
Ioan Raicu,2019,0,0,0,1,1
Lavanya Ramakrishnan,2020,0,0,0,1,0
Lavanya Ramakrishnan,2019,0,0,0,1,0
Matei Ripeanu,2020,0,0,0,1,0
Matei Ripeanu,2019,0,0,0,1,0
Matei Ripeanu,2018,0,0,0,1,0
Martin Schulz,2020,0,0,0,1,0
Prateek Sharma,2020,0,0,0,1,0
Prashant Shenoy,2020,0,0,0,1,0
Shuaiwen Leon Song,2020,0,0,0,1,0
Shuaiwen Leon Song,2018,0,0,0,1,0
Michela Taufer,2020,0,0,0,1,0
Michela Taufer,2019,0,0,0,1,0
Michela Taufer,2018,0,0,0,1,1
Douglas Thain,2020,0,0,0,1,0
Douglas Thain,2019,0,0,0,1,0
Douglas Thain,2018,0,0,0,1,0
Ana Lucia Varbanescu,2020,0,0,0,1,1
Ana Lucia Varbanescu,2019,0,0,0,1,0
Ana Lucia Varbanescu,2018,0,0,0,1,0
Sudharshan S. Vazhkudai,2020,0,0,0,1,1
Sudharshan S. Vazhkudai,2019,0,0,0,1,0
Sudharshan S. Vazhkudai,2018,0,0,0,1,1
Salim Hariri,2020,0,0,0,1,0
Arthur "Barney" Maccabe,2020,0,0,0,1,0
Manish Parashar,2020,0,0,0,1,0
Manish Parashar,2018,0,0,0,1,0
Kenjiro Taura,2020,0,0,0,1,0
Kenjiro Taura,2018,0,0,0,1,0
Jon Weissman,2020,0,0,0,1,0
Jon Weissman,2018,0,0,0,1,0
Christos Antonopoulos,2019,0,0,0,1,0
Ryan Chard,2019,0,0,0,1,0
Andrew A. Chien,2019,0,0,0,1,0
Andrew A. Chien,2018,0,0,0,1,0
David Eyres,2019,0,0,0,1,0
David Eyres,2018,0,0,0,1,0
José Fortes,2019,0,0,0,1,0
Anshul Gandhi,2019,0,0,0,1,0
Dimitrios Gizopoulos,2019,0,0,0,1,0
Adwait Jog,2019,0,0,0,1,0
Arthur Barney Maccabe,2019,0,0,0,1,0
Ningfang Mi,2019,0,0,0,1,0
Kathryn Mohror,2019,0,0,0,1,1
Kathryn Mohror,2020,0,0,0,0,1
Judy Qiu,2019,0,0,0,1,1
Judy Qiu,2018,0,0,0,1,0
M.Mustafa Rafique,2019,0,0,0,1,0
Bin Ren,2019,0,0,0,1,0
Rich Wolski,2019,0,0,0,1,0
Ji Xue,2019,0,0,0,1,0
Li Zhang,2019,0,0,0,1,0
Andre Luckow,2018,0,0,0,1,0
Arthur Maccabe,2018,0,0,0,1,0
Aydin Buluc,2018,0,0,0,1,0
Bogdan Nicolae,2018,0,0,0,1,1
Bogdan Nicolae,2019,0,0,0,0,1
Christine Morin,2018,0,0,0,1,0
David Abramson,2018,0,0,0,1,0
Frank Cappello,2018,0,0,0,1,0
Gabriel Antoniu,2018,0,0,0,1,0
Gabriel Antoniu,2020,0,0,0,0,1
Gabriel Antoniu,2019,0,0,0,0,1
Henri Bal,2018,0,0,0,1,0
Ian Foster,2018,0,0,0,1,1
Ian Foster,2019,0,0,0,0,1
Jiwu Shu,2018,0,0,0,1,0
John (Jack) Lange,2018,0,0,0,1,0
Narayanan Sundaram,2018,0,0,0,1,0
Radu Prodan,2018,0,0,0,1,0
Shantenu Jha,2018,0,0,0,1,0
Sriram Govindan,2018,0,0,0,1,0
Zizhong Chen,2018,0,0,0,1,0
Emmanuel Jeannot,2020,0,0,0,0,1
Cristiana Bentes,2020,0,0,0,0,1
Francieli Zanon Boito,2020,0,0,0,0,1
Louis-Claude Canon,2020,0,0,0,0,1
Gabriele Cavallaro,2020,0,0,0,0,1
Alexandre Denis,2020,0,0,0,0,1
Nicolas Denoyelle,2020,0,0,0,0,1
Pedro Diniz,2020,0,0,0,0,1
Anshu Dubey,2020,0,0,0,0,1
Fanny Dufossé,2020,0,0,0,0,1
Trilce Estrada,2020,0,0,0,0,1
Trilce Estrada,2019,0,0,0,0,1
Trilce Estrada,2018,0,0,0,0,1
Mathieu Faverge,2020,0,0,0,0,1
Edgar Gabriel,2020,0,0,0,0,1
Rong Ge,2020,0,0,0,0,1
Rong Ge,2019,0,0,0,0,1
Rong Ge,2018,0,0,0,0,1
Amina Guermouche,2020,0,0,0,0,1
Amina Guermouche,2019,0,0,0,0,1
Paul Hovland,2020,0,0,0,0,1
Aleksandar Ilic,2020,0,0,0,0,1
Daniel Kressner,2020,0,0,0,0,1
Johannes Langguth,2020,0,0,0,0,1
Johannes Langguth,2018,0,0,0,0,1
Hatem Ltaief,2020,0,0,0,0,1
Hatem Ltaief,2019,0,0,0,0,1
Hatem Ltaief,2018,0,0,0,0,1
Piotr Luszczek,2020,0,0,0,0,1
Piotr Luszczek,2019,0,0,0,0,1
Piotr Luszczek,2018,0,0,0,0,1
Preeti Malakar,2020,0,0,0,0,1
Gabriele Mencagli,2020,0,0,0,0,1
Gabriele Mencagli,2019,0,0,0,0,1
Harshitha Menon,2020,0,0,0,0,1
Shirley Moore,2020,0,0,0,0,1
Shirley Moore,2019,0,0,0,0,1
Shirley Moore,2018,0,0,0,0,1
Tapasya Patki,2020,0,0,0,0,1
Swann Perarbau,2020,0,0,0,0,1
Antonio J. Peña,2020,0,0,0,0,1
Antonio J. Peña,2019,0,0,0,0,1
Antonio J. Peña,2018,0,0,0,0,1
Jelena Pjesivac-Grbovic,2020,0,0,0,0,1
Enrique S. Quintana-Ortí,2020,0,0,0,0,1
Martin Swany,2020,0,0,0,0,1
Daisuke Takahashi,2020,0,0,0,0,1
Adrian Tate,2020,0,0,0,0,1
Mohamed Wahib,2020,0,0,0,0,1
Philippe Navaux,2020,0,0,0,0,1
Nelson Amaral,2020,0,0,0,0,1
Rodolfo Azevedo,2020,0,0,0,0,1
Harold Castro,2020,0,0,0,0,1
Wenguang Chen,2020,0,0,0,0,1
Wenguang Chen,2018,0,0,0,0,1
Matthias Diener,2020,0,0,0,0,1
Lucia Drummond,2020,0,0,0,0,1
Lisandro Granville,2020,0,0,0,0,1
Avi Mendelson,2020,0,0,0,0,1
Esteban Meneses,2020,0,0,0,0,1
Frank Mueller,2020,0,0,0,0,1
Frank Mueller,2019,0,0,0,0,1
Frank Mueller,2018,0,0,0,0,1
Anne-Cecile Orgerie,2020,0,0,0,0,1
Kentaro Sano,2020,0,0,0,0,1
Kentaro Sano,2019,0,0,0,0,1
Kentaro Sano,2018,0,0,0,0,1
Pierre Sens,2020,0,0,0,0,1
Shinji Sumimoto,2020,0,0,0,0,1
Shinji Sumimoto,2018,0,0,0,0,1
James Lin,2020,0,0,0,0,1
Marco Aldinucci,2020,0,0,0,0,1
Marco Aldinucci,2018,0,0,0,0,1
Hartwig Anzt,2020,0,0,0,0,1
Amy Apon,2020,0,0,0,0,1
Amy Apon,2018,0,0,0,0,1
George Bosilca,2020,0,0,0,0,1
Raphael Y. de Camargo,2020,0,0,0,0,1
Alfredo Goldman,2020,0,0,0,0,1
Georgios Goumas,2020,0,0,0,0,1
Ignacio Laguna,2020,0,0,0,0,1
Ignacio Laguna,2019,0,0,0,0,1
Zhiling Lan,2020,0,0,0,0,1
Zhiling Lan,2018,0,0,0,0,1
Dong Li,2020,0,0,0,0,1
Dong Li,2019,0,0,0,0,1
Dong Li,2018,0,0,0,0,1
Olga Pearce,2020,0,0,0,0,1
Olga Pearce,2019,0,0,0,0,1
Christian Pérez,2020,0,0,0,0,1
Christian Pérez,2018,0,0,0,0,1
Massimo Torquati,2020,0,0,0,0,1
Massimo Torquati,2018,0,0,0,0,1
Antonino Tumeo,2020,0,0,0,0,1
Zhijia Zhao,2020,0,0,0,0,1
Dingwen Tao,2020,0,0,0,0,1
Wei Wu,2020,0,0,0,0,1
Osamu Tatebe,2020,0,0,0,0,1
Osamu Tatebe,2019,0,0,0,0,1
Osamu Tatebe,2018,0,0,0,0,1
Gagan Agrawal,2020,0,0,0,0,1
Gagan Agrawal,2019,0,0,0,0,1
Gagan Agrawal,2018,0,0,0,0,1
Suren Byna,2020,0,0,0,0,1
Suren Byna,2019,0,0,0,0,1
Suren Byna,2018,0,0,0,0,1
Jesus Carretero,2020,0,0,0,0,1
Jesus Carretero,2019,0,0,0,0,1
Jesus Carretero,2018,0,0,0,0,1
Sheng Di,2020,0,0,0,0,1
Takahiro Hirofuchi,2020,0,0,0,0,1
Hideyuki Kawashima,2020,0,0,0,0,1
Scott Klasky,2020,0,0,0,0,1
Glenn Lockwood,2020,0,0,0,0,1
Suzanne McIntosh,2020,0,0,0,0,1
Suzanne McIntosh,2019,0,0,0,0,1
Hiroki Ohtsuji,2020,0,0,0,0,1
Robert B. Ross,2020,0,0,0,0,1
Kento Sato,2020,0,0,0,0,1
Hiroaki Shiokawa,2020,0,0,0,0,1
Weikuan Yu,2020,0,0,0,0,1
Weikuan Yu,2018,0,0,0,0,1
Amelie Chi Zhou,2020,0,0,0,0,1
Amelie Chi Zhou,2018,0,0,0,0,1
Engin Arslan,2019,0,0,0,0,1
Engin Arslan,2018,0,0,0,0,1
Michael Bader,2019,0,0,0,0,1
Michael Bader,2018,0,0,0,0,1
Costas Bekas,2019,0,0,0,0,1
Huilong Chen,2019,0,0,0,0,1
Rafael Ferreira da Silva,2019,0,0,0,0,1
Rafael Ferreira da Silva,2018,0,0,0,0,1
Alice Koniges,2019,0,0,0,0,1
Johannes Lagguth,2019,0,0,0,0,1
Richard Membarth,2019,0,0,0,0,1
Richard Membarth,2018,0,0,0,0,1
Gihan Mudalige,2019,0,0,0,0,1
Gihan Mudalige,2018,0,0,0,0,1
Sivasankaran Rajamanickam,2019,0,0,0,0,1
Sivasankaran Rajamanickam,2018,0,0,0,0,1
Suzanne Shontz,2019,0,0,0,0,1
Suzanne Shontz,2018,0,0,0,0,1
Francesco Silvestri,2019,0,0,0,0,1
Francesco Silvestri,2018,0,0,0,0,1
Shaden Smith,2019,0,0,0,0,1
Shaden Smith,2018,0,0,0,0,1
Hari Sundar,2019,0,0,0,0,1
Hari Sundar,2018,0,0,0,0,1
Nathan Tallent,2019,0,0,0,0,1
Nathan Tallent,2018,0,0,0,0,1
Ramachandran Vaidyanathan,2019,0,0,0,0,1
Tobias Weinzierl,2019,0,0,0,0,1
Tobias Weinzierl,2018,0,0,0,0,1
Freddie Witherden,2019,0,0,0,0,1
Freddie Witherden,2018,0,0,0,0,1
Rio Yokota,2019,0,0,0,0,1
Rio Yokota,2018,0,0,0,0,1
Yungang Bao,2019,0,0,0,0,1
Scott Beamer,2019,0,0,0,0,1
Sudheer Chunduri,2019,0,0,0,0,1
Alexandros Daglis,2019,0,0,0,0,1
Sven Karlsson,2019,0,0,0,0,1
Hyesoon Kim,2019,0,0,0,0,1
John Kim,2019,0,0,0,0,1
Jagadish Kotra,2019,0,0,0,0,1
Vassilis Papaefstathiou,2019,0,0,0,0,1
Gilles Pokham,2019,0,0,0,0,1
Steve Reihnhart,2019,0,0,0,0,1
Minsoo Rhu,2019,0,0,0,0,1
Alex Rico,2019,0,0,0,0,1
Jeremy Wilkie,2019,0,0,0,0,1
Seyed Majid Zahedi,2019,0,0,0,0,1
Tianhao Zheng,2019,0,0,0,0,1
Albert Zomaya,2019,0,0,0,0,1
Michaela Becchi,2019,0,0,0,0,1
Aurelien Bouteiller,2019,0,0,0,0,1
Taisuke Boku,2019,0,0,0,0,1
Ivona Brandi&cacute,2019,0,0,0,0,1
Anthony Danalis,2019,0,0,0,0,1
Judit Gimenez,2019,0,0,0,0,1
Taylor Groves,2019,0,0,0,0,1
Samuel Gutierrez,2019,0,0,0,0,1
Dieter Kranzlmuller,2019,0,0,0,0,1
Laurent Lefevre,2019,0,0,0,0,1
Abid Malik,2019,0,0,0,0,1
Abid Malik,2018,0,0,0,0,1
Erika Parsons,2019,0,0,0,0,1
Ivan Rodero,2019,0,0,0,0,1
Seetheram Seelam,2019,0,0,0,0,1
Sameer Shende,2019,0,0,0,0,1
Alexandru Uta,2019,0,0,0,0,1
Carlos Varela,2019,0,0,0,0,1
Patrick Widener,2019,0,0,0,0,1
Jia Zou,2019,0,0,0,0,1
Jia Zou,2018,0,0,0,0,1
Philip Carns,2019,0,0,0,0,1
Toni Cortez,2019,0,0,0,0,1
Alexandru Costan,2019,0,0,0,0,1
Alexandru Costan,2018,0,0,0,0,1
Matthieu Dorier,2019,0,0,0,0,1
Matthieu Dorier,2018,0,0,0,0,1
Pilar Gonzalez-Ferez,2019,0,0,0,0,1
Shadi Ibrahim,2019,0,0,0,0,1
Hai Jin,2019,0,0,0,0,1
Hai Jin,2018,0,0,0,0,1
Michael Kuhn,2019,0,0,0,0,1
Adrien Lebre,2019,0,0,0,0,1
Pierre Matri,2019,0,0,0,0,1
Sai Narasimhamurthy,2019,0,0,0,0,1
Youssef Nashed,2019,0,0,0,0,1
Ramon Nou,2019,0,0,0,0,1
Lukas Rupprecht,2019,0,0,0,0,1
Lukas Rupprecht,2018,0,0,0,0,1
Alberto Sanchez,2019,0,0,0,0,1
Michael Schoettner,2019,0,0,0,0,1
Michael Schoettner,2018,0,0,0,0,1
Robert Sisneros,2019,0,0,0,0,1
Robert Sisneros,2018,0,0,0,0,1
Domenico Talia,2019,0,0,0,0,1
Domenico Talia,2018,0,0,0,0,1
Jon Woodring,2019,0,0,0,0,1
Jon Woodring,2018,0,0,0,0,1
Maria S. Perez,2019,0,0,0,0,1
Maria S. Perez,2018,0,0,0,0,1
Dorian Arnold,2019,0,0,0,0,1
Amanda Randles,2019,0,0,0,0,1
Amanda Randles,2018,0,0,0,0,1
Harald Koestler,2018,0,0,0,0,1
Vadym Aizinger,2018,0,0,0,0,1
Ariful Azad,2018,0,0,0,0,1
Dominik Bartuschat,2018,0,0,0,0,1
Ben Bergen,2018,0,0,0,0,1
Matthias Bolten,2018,0,0,0,0,1
Adrian Castello,2018,0,0,0,0,1
Aparna Chandramowlishwaran,2018,0,0,0,0,1
Sunita Chandrasekaran,2018,0,0,0,0,1
Karen Devine,2018,0,0,0,0,1
Christian Engwer,2018,0,0,0,0,1
Travis Johnston,2018,0,0,0,0,1
Volodymyr Kindratenko,2018,0,0,0,0,1
Maciej Malawski,2018,0,0,0,0,1
Philipp Neumann,2018,0,0,0,0,1
Anna Queralt,2018,0,0,0,0,1
A. Erdem Sariyuce,2018,0,0,0,0,1
Ramachandran (Vaidy) Vaidyanathan,2018,0,0,0,0,1
Roland Haas,2018,0,0,0,0,1
Armin Größlinger,2018,0,0,0,0,1
Dirk Pflüger,2018,0,0,0,0,1
Min Si,2018,0,0,0,0,1
Bertil Schmidt,2018,0,0,0,0,1
Istvan Reguly,2018,0,0,0,0,1
Richard Veras,2018,0,0,0,0,1
Masaaki Kondo,2018,0,0,0,0,1
Ivona Brandić,2018,0,0,0,0,1
Holger Fröning,2018,0,0,0,0,1
Costin Iancu,2018,0,0,0,0,1
Myoungsoo Jung,2018,0,0,0,0,1
Michihiro Koibuchi,2018,0,0,0,0,1
John Lange,2018,0,0,0,0,1
Anne-Cécile ORGERIE,2018,0,0,0,0,1
Xiaorui Wang,2018,0,0,0,0,1
Huiyang Zhou,2018,0,0,0,0,1
Boyana Norris,2018,0,0,0,0,1
Amer Abdelhalim,2018,0,0,0,0,1
Olivier Aumage,2018,0,0,0,0,1
Leonardo Bautista-Gomez,2018,0,0,0,0,1
Huimin Cui,2018,0,0,0,0,1
Minh Dinh,2018,0,0,0,0,1
Ann Gentile,2018,0,0,0,0,1
Atsushi Hori,2018,0,0,0,0,1
Hiroshi Inoue,2018,0,0,0,0,1
Dieter Kranzlmueller,2018,0,0,0,0,1
Sriram Krishnamoorthy,2018,0,0,0,0,1
Catherine Olschanowsky,2018,0,0,0,0,1
Miquel Pericàs,2018,0,0,0,0,1
Dana Petcu,2018,0,0,0,0,1
Olga Pierce,2018,0,0,0,0,1
Florin Pop,2018,0,0,0,0,1
Chandra Krintz,2018,0,0,0,0,1
Janine Bennett,2018,0,0,0,0,1
Elisa Bertino,2018,0,0,0,0,1
Kalyana Chadalavada,2018,0,0,0,0,1
Darrell Ling,2018,0,0,0,0,1
Faisal Nawab,2018,0,0,0,0,1
David Pugmire,2018,0,0,0,0,1
Wolski Rich,2018,0,0,0,0,1
Xuanhua Shi,2018,0,0,0,0,1
Mark van Moer,2018,0,0,0,0,1
Martin Strohbach,2018,0,0,0,0,1
Zhengyu Yang,2018,0,0,0,0,1
Alex Sim,2018,0,0,0,0,1
Jiayin Wang,2018,0,0,0,0,1
